Disease,Symptoms,Severity,Precautions,Diet_Recommendations,Description
Kidney Disease Type 5,leg pain;bloating;sensitivity to light,Severe,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 6,sleep problems;skin rash;dizziness;mood changes;diarrhea;painful urination,Severe,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 7,bruising;difficulty breathing;abdominal pain;weight gain;anxiety,Moderate,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 8,tingling;bruising;chest pain;runny nose;bleeding;sleep problems,Mild,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 9,sensitivity to light;sneezing;dry eyes;dizziness;skin rash;muscle pain,Severe,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 10,night sweats;skin lesions;constipation;chest pain;nasal congestion;stiffness,Severe,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 11,night sweats;abdominal pain;watery eyes;bleeding,Mild,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 12,vision loss;nausea;cough,Severe,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 13,palpitations;runny nose;mood changes,Severe,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 14,cold extremities;heartburn;bleeding,Severe,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Kidney Disease Type 15,loss of appetite;weight loss;concentration problems;palpitations,Moderate,"Appropriate management for kidney disease, regular monitoring",Diet specific to kidney disease management,Specific variant of kidney disease with unique characteristics
Lung Disease Type 1,concentration problems;loss of appetite;nasal congestion,Severe,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 2,weakness;chills;seizures;vision loss,Moderate,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 3,numbness;swelling;seizures;nasal congestion,Moderate,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 4,irritability;chest tightness;bleeding;nasal congestion;loss of appetite;stiffness,Severe,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 5,cough;pelvic pain;chest tightness;swelling;redness;constipation,Severe,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 6,seizures;dizziness;confusion;sensitivity to light,Mild,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 7,swelling;difficulty breathing;fever;tinnitus,Moderate,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 8,nausea;seizures;bloating,Moderate,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 9,fatigue;dizziness;paralysis;loss of appetite;kidney pain;bruising,Severe,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 10,sputum production;runny nose;ear pain;irritability;shortness of breath;hoarse voice,Moderate,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 11,memory loss;joint pain;back pain,Moderate,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 12,numbness;concentration problems;chills;runny nose;heartburn,Severe,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 13,dry skin;cough;vomiting;weakness,Severe,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 14,cold extremities;chills;tingling,Moderate,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Lung Disease Type 15,tinnitus;bleeding;cold extremities;palpitations;tingling;depression,Mild,"Appropriate management for lung disease, regular monitoring",Diet specific to lung disease management,Specific variant of lung disease with unique characteristics
Skin Disease Type 1,night sweats;cold extremities;depression;nausea;weakness;hemoptysis,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 2,limited mobility;loss of appetite;joint pain;weight gain;bloating,Severe,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 3,floaters;night sweats;abdominal pain;chest tightness;bruising,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 4,neck pain;fever;weight gain;heartburn;fatigue,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 5,irritability;floaters;tremor;chest tightness,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 6,night sweats;frequent urination;sore throat;swelling,Moderate,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 7,difficulty breathing;nausea;skin rash;cough;swelling;abdominal pain,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 8,difficulty breathing;seizures;concentration problems;diarrhea;itching,Severe,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 9,neck pain;seizures;chest pain;sore throat,Moderate,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 10,loss of appetite;irritability;itching;depression;swelling;blood in urine,Severe,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 11,seizures;sleep problems;hoarse voice;irritability,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 12,wheezing;bleeding;palpitations,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 13,skin rash;anxiety;eye pain,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 14,painful urination;eye pain;blurred vision,Mild,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Skin Disease Type 15,chills;headache;nasal congestion;paralysis;dizziness,Severe,"Appropriate management for skin disease, regular monitoring",Diet specific to skin disease management,Specific variant of skin disease with unique characteristics
Eye Disease Type 1,constipation;hemoptysis;back pain;joint pain;redness;fever,Mild,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 2,weight loss;weight gain;shortness of breath;neck pain;hemoptysis,Moderate,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 3,difficulty breathing;dizziness;kidney pain;frequent urination;bloating,Severe,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 4,incontinence;depression;sensitivity to light;confusion,Mild,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 5,floaters;diarrhea;back pain,Severe,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 6,constipation;irritability;loss of appetite;heartburn;blurred vision,Severe,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 7,tingling;runny nose;swelling;vision loss,Severe,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 8,vomiting;neck pain;cold extremities;paralysis;fever,Moderate,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 9,hoarse voice;sleep problems;kidney pain;constipation,Severe,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 10,tremor;redness;mood changes;tingling;heartburn,Severe,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 11,nausea;sleep problems;cold extremities;sore throat;chest pain,Severe,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 12,sore throat;back pain;concentration problems;shortness of breath;diarrhea;pelvic pain,Mild,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 13,sore throat;heartburn;bloating,Mild,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 14,kidney pain;weight gain;abdominal pain,Moderate,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Eye Disease Type 15,blood in urine;sneezing;depression;shortness of breath,Moderate,"Appropriate management for eye disease, regular monitoring",Diet specific to eye disease management,Specific variant of eye disease with unique characteristics
Ear Disease Type 1,vision loss;fever;weight gain;bleeding,Severe,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 2,weight gain;diarrhea;leg pain;concentration problems;swelling,Moderate,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 3,leg pain;hearing loss;fever;painful urination;muscle pain,Moderate,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 4,shortness of breath;headache;bruising;ear pain,Mild,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 5,pelvic pain;headache;abdominal pain,Severe,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 6,skin lesions;hearing loss;heartburn,Moderate,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 7,constipation;nasal congestion;nausea,Mild,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 8,sleep problems;blurred vision;sensitivity to light;memory loss,Moderate,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 9,cough;depression;dry eyes;swelling;difficulty breathing;hoarse voice,Mild,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 10,memory loss;palpitations;ear pain;neck pain;blurred vision,Severe,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 11,cough;difficulty breathing;itching,Moderate,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 12,bruising;heartburn;mood changes;anxiety;palpitations;fatigue,Severe,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 13,wheezing;fatigue;leg pain,Moderate,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 14,seizures;anxiety;sensitivity to light;sputum production,Moderate,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Ear Disease Type 15,sensitivity to light;leg pain;neck pain;fatigue;frequent urination,Severe,"Appropriate management for ear disease, regular monitoring",Diet specific to ear disease management,Specific variant of ear disease with unique characteristics
Blood Disorder Type 1,pelvic pain;shortness of breath;night sweats;weight gain,Mild,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 2,wheezing;cold extremities;kidney pain;vision loss;limited mobility,Mild,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 3,sore throat;cough;cold extremities;night sweats;mood changes,Moderate,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 4,weakness;sputum production;difficulty breathing;concentration problems;irritability,Mild,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 5,weight loss;sputum production;neck pain;leg pain;blurred vision;vision loss,Mild,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 6,bloating;frequent urination;cough;vomiting;redness,Mild,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 7,weight loss;incontinence;floaters,Severe,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 8,floaters;redness;irritability;dry skin;difficulty breathing,Moderate,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 9,skin lesions;tremor;nausea;floaters,Severe,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 10,itching;tinnitus;blurred vision,Moderate,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 11,mood changes;night sweats;diarrhea;ear pain;headache;watery eyes,Moderate,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 12,vision loss;constipation;sore throat;wheezing;skin lesions;watery eyes,Moderate,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 13,tremor;runny nose;skin rash,Moderate,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 14,nausea;difficulty swallowing;ear pain,Moderate,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Blood Disorder Type 15,bleeding;vision loss;stiffness;sputum production;mood changes;dry eyes,Mild,"Appropriate management for blood disorder, regular monitoring",Diet specific to blood disorder management,Specific variant of blood disorder with unique characteristics
Mental Health Disorder Type 1,bleeding;frequent urination;hemoptysis;watery eyes;mood changes;back pain,Severe,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 2,night sweats;skin lesions;floaters;weakness;seizures,Moderate,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 3,muscle pain;redness;swelling;bloating;joint pain,Moderate,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 4,nausea;chest pain;difficulty swallowing;chills,Mild,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 5,confusion;pelvic pain;stiffness;tingling;dry eyes,Moderate,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 6,chest tightness;hemoptysis;mood changes,Mild,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 7,blurred vision;mood changes;painful urination;chest pain;fatigue;floaters,Mild,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 8,concentration problems;sputum production;back pain;blurred vision;hearing loss;anxiety,Mild,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 9,concentration problems;sneezing;painful urination;neck pain,Severe,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 10,muscle pain;sleep problems;depression,Severe,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 11,abdominal pain;hoarse voice;chills;dry eyes,Moderate,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 12,vision loss;ear pain;cough,Mild,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 13,anxiety;hoarse voice;shortness of breath;neck pain;watery eyes;seizures,Severe,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 14,palpitations;dry skin;difficulty swallowing;wheezing;bloating,Severe,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Mental Health Disorder Type 15,vision loss;difficulty breathing;itching;swelling,Moderate,"Appropriate management for mental health disorder, regular monitoring",Diet specific to mental health disorder management,Specific variant of mental health disorder with unique characteristics
Autoimmune Disease Type 1,palpitations;seizures;confusion,Severe,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 2,itching;diarrhea;paralysis;neck pain,Severe,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 3,tremor;nasal congestion;difficulty swallowing;back pain;muscle pain;pelvic pain,Mild,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 4,nausea;back pain;bruising;sputum production;muscle pain;shortness of breath,Moderate,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 5,bleeding;memory loss;swelling;depression;ear pain;constipation,Moderate,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 6,leg pain;weakness;chills;memory loss;fever,Severe,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 7,nausea;sleep problems;vision loss;chills,Severe,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 8,back pain;vision loss;skin rash;anxiety,Moderate,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 9,leg pain;weight loss;eye pain;hemoptysis,Moderate,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 10,mood changes;redness;blurred vision;hearing loss,Mild,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 11,runny nose;kidney pain;skin lesions;bloating;neck pain,Mild,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 12,muscle pain;headache;swelling;painful urination;bruising;ear pain,Severe,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 13,ear pain;shortness of breath;diarrhea;runny nose;weight gain;loss of appetite,Severe,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 14,dizziness;cold extremities;weakness;depression;shortness of breath;hemoptysis,Severe,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
Autoimmune Disease Type 15,neck pain;palpitations;eye pain;hoarse voice;back pain,Mild,"Appropriate management for autoimmune disease, regular monitoring",Diet specific to autoimmune disease management,Specific variant of autoimmune disease with unique characteristics
